Date,ConnType,Lat,Lon,Download,Upload,Latency,ServerName,InternalIp,ExternalIp
"2016-06-11 16:16","Wifi","47.67380","-122.34190",83.66,80.77,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-11 14:19","Wifi","47.67380","-122.34190",66.88,92.92,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-11 13:25","Wifi","47.67380","-122.34190",64.42,72.04,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-11 13:03","Wifi","47.67380","-122.34190",51.99,75.06,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-11 12:18","Wifi","47.67380","-122.34190",55.96,63.27,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-11 11:46","Wifi","47.67380","-122.34190",80.84,49.41,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-09 18:11","Wifi","47.67380","-122.34190",91.14,65.47,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-08 21:02","Wifi","47.67380","-122.34190",89.13,78.71,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-07 04:56","Wifi","47.67380","-122.34190",95.34,83.71,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-05 22:18","Wifi","47.67380","-122.34190",53.39,69.37,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-05 21:04","Wifi","47.67380","-122.34190",78.20,47.76,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-05 13:13","Wifi","47.67380","-122.34190",68.98,68.60,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 16:02","Wifi","47.67380","-122.34190",35.10,54.75,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 12:47","Wifi","47.67380","-122.34190",59.31,63.02,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 12:47","Wifi","47.67380","-122.34190",71.44,60.47,7,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 12:42","Wifi","47.67380","-122.34190",75.41,72.26,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 10:57","Wifi","47.67380","-122.34190",11.72,5.88,6,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 08:41","Wifi","47.67380","-122.34190",59.74,76.93,905,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 08:40","Wifi","47.67380","-122.34190",24.50,63.70,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 06:40","Wifi","47.67380","-122.34190",83.07,91.35,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 05:46","Wifi","47.67380","-122.34190",87.81,76.76,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-04 05:46","Wifi","47.67380","-122.34190",48.93,82.61,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 21:33","Wifi","47.67380","-122.34190",90.49,92.92,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 21:32","Wifi","47.67380","-122.34190",99.40,97.35,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 21:31","Wifi","47.67380","-122.34190",97.92,103.77,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 21:22","Wifi","47.67380","-122.34190",86.63,98.07,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 21:14","Wifi","47.67380","-122.34190",99.27,93.48,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 20:54","Wifi","47.67380","-122.34190",99.14,95.52,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 20:54","Wifi","47.67380","-122.34190",99.11,97.84,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 20:53","Wifi","47.67380","-122.34190",97.77,104.24,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 20:52","Wifi","47.67380","-122.34190",93.27,104.64,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 20:51","Wifi","47.67380","-122.34190",87.21,99.02,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 20:50","Wifi","47.67380","-122.34190",78.92,99.92,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-03 20:49","Wifi","47.67380","-122.34190",96.98,95.44,4,"Seattle, WA","192.168.53.229","71.37.47.22"
